"","ROAD_ID","UNIT_ID","TRANSECT_ID","POINT_ID","PRIM_OBS","SEC_OBS","SURVEY_DATE","START_TIME","TEMP_F","TEMP_C","SKY","WIND","WIND_DIRECTION","HEARING","NOISE_DISTANCE_m","NOISE_DIRECTION","WAYPOINT","GPS_NAME","UTM1","UTM2","ELEVATION","pct_BG","pct_T","pct_LS","pct_TS","NOTES"
"1","KOUG","K4","T25",19,"KW","MG","5-May-21","5:52",21,NA,"0",3,"N",0,NA,NA,1,3,489936,7184190,NA,"10","35","55","0","Ground covered in snow"
"2","KOUG","K4","T25",23,"KW","MG","5-May-21","6:34",20.5,NA,"0",4,"N",0,NA,NA,2,3,489431,7184820,NA,"0","60","40","0","Ground covered in snow"
"3","KOUG","K4","T25",20,"KW","MG","5-May-21","7:10",23,NA,"0",1,"N",0,NA,NA,3,3,488866,7184259,NA,"0","55","45","0","Ground covered in snow; in a small drainage/creek"
"4","KOUG","K4","T25",24,"KW","MG","5-May-21","7:42",31,NA,"0",1,"N",0,NA,NA,4,3,488363,7184890,NA,"0","90","10","0","Ground covered in snow"
"5","KOUG","K4","T25",21,"KW","MG","5-May-21","8:20",36.7,NA,"0",1,"N",0,NA,NA,5,3,487797,7184330,NA,"0","100","0","0","Ground covered in snow"
"6","KOUG","K4","T25",12,"KW","MG","5-May-21","9:02",44,NA,"0",0,NA,0,NA,NA,6,3,487736,7183134,NA,"60","40","0","0",""
"7","KOUG","K4","T25",7,"KW","MG","5-May-21","10:01",44,NA,"0",0,NA,0,NA,NA,7,3,488238,7182504,NA,"0","95","5","0","Ground entirely covered in snow. Not sure whats underneath!"
"8","KOUG","K4","T25",2,"KW","MG","5-May-21","10:30",40,NA,"0",3,"NNW",0,NA,NA,8,3,488740,7181872,NA,"15","55","30","0",""
"9","KOUG","K4","T25",6,"KW","MG","5-May-21","11:01",33,NA,"0",7.5,"N",1,NA,NA,9,3,489305,7182433,NA,"0","15","70","15",""
"10","KOUG","K4","T25",10,"KW","MG","5-May-21","11:30",29,NA,"0",4,"N",0,NA,NA,10,3,489869,7182992,NA,"0","25","75","0",""
"11","KOUG","K4","T25",14,"KW","MG","5-May-21","11:57",33,NA,"0",4,"N",0,NA,NA,11,3,490437,7183554,NA,"0","20","80","0",""
"12","KOUG","K4","T25",18,"KW","MG","5-May-21","12:37",43,NA,"0",2,"N",0,NA,NA,12,3,490998,7184120,NA,"0","90","0","10"," "
"13","COUN","C4","T21",1,"KW","MG","6-May-21","5:35",34,NA,"2",0,NA,0,NA,NA,25,3,500263,7145872,NA,"80","0","0","20","ON ROAD RIGHT BY COAST SO LOTS OF SEA ICE"
"14","COUN","C4","T21",3,"KW","MG","6-May-21","6:05",36,NA,"2",0,NA,0,NA,NA,13,3,500839,7146419,NA,"15","0","0","85",""
"15","COUN","C4","T21",4,"KW","MG","6-May-21","6:50",32.5,NA,"1",5,"E",1,NA,NA,14,3,499769,7146490,NA,"0","100","0","0",""
"16","COUN","C4","T21",9,"KW","MG","6-May-21","7:22",31,NA,"1",6.5,"E",1,NA,NA,15,3,499263,7147129,NA,"0","100","0","0","ALL COVERED IN SNOW"
"17","COUN","C4","T21",13,"KW","MG","6-May-21","7:48",32.5,NA,"1",5,"E",1,NA,NA,16,3,499829,7147676,NA,"0","100","0","0","COVERED IN SNOW"
"18","COUN","C4","T21",16,"KW","MG","6-May-21","8:13",32,NA,"1",2,"E",0,NA,NA,17,3,500393,7148238,NA,"0","100","0","0","COVERED IN SNOW"
"19","COUN","C4","T21",19,"KW","MG","6-May-21","8:41",34,NA,"1",3,"E",0,NA,NA,18,3,499888,7148866,NA,"0","100","0","0",""
"20","COUN","C4","T21",21,"KW","MG","6-May-21","9:13",36,NA,"1",3,"NE",0,NA,NA,19,3,500457,7149424,NA,"0","90","10","0",""
"21","COUN","C4","T21",22,"KW","MG","6-May-21","9:41",35.7,NA,"1",1,"NE",0,NA,NA,20,3,501020,7149988,NA,"0","95","5","0",""
"22","COUN","C4","T21",20,"KW","MG","6-May-21","10:05",32,NA,"2",2,"NE",0,NA,NA,21,3,501530,7149360,NA,"0","90","10","0",""
"23","COUN","C4","T21",18,"KW","MG","6-May-21","10:36",46,NA,"1",0,NA,0,NA,NA,22,3,500957,7148804,NA,"0","90","10","0",""
"24","COUN","C4","T21",15,"KW","MG","6-May-21","11:07",48.5,NA,"2",1,NA,0,NA,NA,23,3,501466,7148167,NA,"0","70","10","20",""
"25","COUN","C4","T21",12,"KW","MG","6-May-21","11:38",40,NA,"2",3,"NE",0,NA,NA,24,3,500904,7147620,NA,"10","80","10","0",""
"26","TELL","T5","T3",7,"MG","KW","7-May-21","5:27",40,NA,"0",6,"NE",0,NA,NA,26,3,467879,7163512,NA,"0","90","10","0",""
"27","TELL","T5","T3",11,"MG","KW","7-May-21","6:20",42,NA,"0",8,"NE",1,NA,NA,27,3,468484,7164060,NA,"0","50","20","20","CROSSED PENNY CREEK - FROZEN IN AM, THAWED IN PM…"
"28","TELL","T5","T3",14,"MG","KW","7-May-21","6:47",41,NA,"0",8,"NE",1,NA,NA,28,3,469037,7164617,NA,"0","90","10","0",""
"29","TELL","T5","T3",18,"MG","KW","7-May-21","7:20",42,NA,"0",8,"NE",1,NA,NA,29,3,469602,7165177,NA,"0","80","15","5",""
"30","TELL","T5","T3",13,"MG","KW","7-May-21","7:54",40,NA,"0",10,"NE",1,NA,NA,30,3,470106,7164552,NA,"0","100","0","0",""
"31","TELL","T5","T3",5,"MG","KW","7-May-21","8:49",42,NA,"0",10,"NE",1,NA,NA,31,3,470040,7163357,NA,"0","100","0","0","MOUNTAIN TOP"
"32","TELL","T5","T3",2,"MG","KW","7-May-21","9:23",44,NA,"0",12,"NW",1,NA,NA,32,3,469472,7162794,NA,"0","90","10","0","SNBU AND AMPI SEEN ON WAY TO POINT"
"33","TELL","T5","T3",25,"MG","KW","7-May-21","10:57",44,NA,"0",10,"NE",1,NA,NA,33,3,466965,7165955,NA,"0","90","10","0",""
"34","TELL","T5","T3",29,"MG","KW","7-May-21","11:41",52,NA,"0",10,"NE",1,NA,NA,34,3,467528,7166517,NA,"0","100","0","0",""
"35","TELL","T5","T3",32,"MG","KW","7-May-21","12:22",56,NA,"0",15,"NE",2,NA,NA,35,3,468099,7167071,NA,"40","60","0","0",""
"36","TELL","T5","T3",19,"MG","KW","7-May-21","13:19",59,NA,"0",8,"NE",1,NA,NA,36,3,468536,7165250,NA,"0","20","60","20",""
"37","COUN","C3","T14",4,"MG","KW","8-May-21","6:00",34,NA,"0",10,"NNE",2,NA,NA,37,3,533354,7171900,NA,"0","60","30","10","River 200m down slope"
"38","COUN","C3","T14",6,"MG","KW","8-May-21","6:44",38,NA,"0",5,"W",0,NA,NA,38,3,533803,7172418,NA,"0","80","0","20","In a small drainage"
"39","COUN","C3","T14",9,"MG","KW","8-May-21","7:15",36,NA,"0",5,"NE",0,NA,NA,39,3,534379,7172983,NA,"0","90","10","0",""
"40","COUN","C3","T14",12,"MG","KW","8-May-21","7:43",34,NA,"0",1,"SSW",0,NA,NA,40,3,534867,7173533,NA,"0","95","5","0",""
"41","COUN","C3","T14",13,"MG","KW","8-May-21","8:27",40,NA,"0",11,"NE",1,NA,NA,41,3,533866,7173617,NA,"0","60","20","10","POINT 16, ON HILLSIDE ABOVE GYR NEST ON BRIDGE, TOO WINDY - GUSTS UP TO 20"
"42","COUN","C3","T14",2,"MG","KW","8-May-21","9:55",43,NA,"0",10,"NE",1,NA,NA,42,3,532126,7170728,NA,"0","80","20","0",""
"43","COUN","C3","T14",3,"MG","KW","8-May-21","10:28",44,NA,"0",11,"NE",2,NA,NA,43,3,532683,7171299,NA,"20","70","10","0","OPEN AND GUSTING >15MPH"
"44","COUN","C3","T14",5,"MG","KW","8-May-21","11:19",40,NA,"0",13,"NE",2,NA,NA,44,3,532179,7171929,NA,"40","60","0","0","TOP OF MOUNTAIN ~ 75 SACR FLYING OVER BEFORE SURVEY STARTED"
"45","KOUG","K4","T28",5,"KW","MG","9-May-21","5:31",37.6,NA,"2",4.5,"N",0,NA,NA,45,3,490057,7186579,NA,"0","50","10","40","HH ALSO SECONDARY "
"46","KOUG","K4","T28",4,"KW","MG","9-May-21","6:20",38,NA,"2",1,"N",0,NA,NA,46,3,491124,7186508,NA,"0","10","10","80","HH ALSO SECONDARY "
"47","KOUG","K4","T28",8,"KW","MG","9-May-21","7:15",45.7,NA,"4",2,"S",0,NA,NA,47,3,490653,7187125,NA,"30","50","10","10","HH ALSO SECONDARY "
"48","KOUG","K4","T28",11,"KW","MG","9-May-21","7:58",42,NA,"2",0,NA,1,127,"314",48,3,490123,7187771,NA,"0","20","20","60","COLLARED MOOSE ON OPPOSING SLOPE HEADED E/NE; HH ALSO SECONDARY "
"49","KOUG","K4","T28",9,"KW","MG","9-May-21","8:32",36.7,NA,"4",5,"N",0,NA,NA,49,3,489554,7187210,NA,"0","20","20","60","HH ALSO SECONDARY "
"50","KOUG","K4","T17",18,"MG","KW","10-May-21","5:33",35,NA,"1",1,"NNW",0,NA,NA,50,3,494328,7196498,NA,"0","60","40","0","COVERED IN SNOW - YAY HARD SNOW! 3 MOOSE!"
"51","KOUG","K4","T17",14,"MG","KW","10-May-21","6:05",35,NA,"1",0,NA,0,NA,NA,51,3,494824,7195866,NA,"0","70","30","0","COVERED IN SNOW"
"52","KOUG","K4","T17",11,"MG","KW","10-May-21","6:32",41,NA,"2",1,"NNW",0,NA,NA,52,3,494266,7195301,NA,"0","60","40","0","COVERED IN SNOW"
"53","KOUG","K4","T17",8,"MG","KW","10-May-21","7:04",39,NA,"2",2,"S",0,NA,NA,53,3,494762,7194669,NA,"0","70","30","0","COVERED IN SNOW"
"54","KOUG","K4","T17",6,"MG","KW","10-May-21","7:37",43,NA,"2",2,"S",0,NA,NA,54,3,494196,7194106,NA,"20","70","10","0","TUNDRA COVERED IN SNOW"
"55","KOUG","K4","T17",4,"MG","KW","10-May-21","8:06",43,NA,"2",2,"S",0,NA,NA,55,3,494700,7193473,NA,"30","60","10","0","SQUIR TRACKS ON WAY TO POINT; ROPT SEEN ON WAY TO POINT; AMRO BEFORE SURVEY; SPITTING RAIN; TUNDRA COVERED IN SNOW"
"56","KOUG","K4","T17",5,"MG","KW","10-May-21","8:49",44,NA,"1",7,"NE",1,NA,NA,56,3,495260,7194039,NA,"30","50","20","0","SQUIR HIGHWAY! TRACKS IN SNOW; TUNDRA COVERED IN SNOW"
"57","KOUG","K4","T17",10,"MG","KW","10-May-21","9:32",45,NA,"1",1,"NE",0,NA,NA,57,3,495322,7195226,NA,"0","70","30","0","TUNDRA COVERED IN SNOW"
"58","KOUG","K4","T17",13,"MG","KW","10-May-21","10:03",45,NA,"1",3,"W",0,NA,NA,58,3,495899,7195799,NA,"0","90","10","0","TUNDRA COVERED IN SNOW"
"59","KOUG","K4","T17",17,"MG","KW","10-May-21","10:29",45,NA,"1",1,"N",0,NA,NA,59,3,495390,7196428,NA,"NOT TAKEN","NOT TAKEN","NOT TAKEN","NOT TAKEN",""
"60","TELL","T4","T11",16,"KW","MG","11-May-21","5:38",40,NA,"1",2,"N",0,NA,NA,60,3,452460,7184300,NA,"0","100","0","0","COVERED IN SNOW"
"61","TELL","T4","T11",21,"KW","MG","11-May-21","6:25",37.7,NA,"1",2,"N",0,NA,NA,61,3,453030,7184858,NA,"0","100","0","0",""
"62","TELL","T4","T11",25,"KW","MG","11-May-21","6:54",34.9,NA,"1",2.5,"N",0,NA,NA,62,3,453593,7185405,NA,"0","100","0","0",""
"63","TELL","T4","T11",30,"KW","MG","11-May-21","7:20",39,NA,"1",2,"N",0,NA,NA,63,3,453100,7186051,NA,"0","100","0","0",""
"64","TELL","T4","T11",33,"KW","MG","11-May-21","7:51",39.6,NA,"1",2,"N",0,NA,NA,64,3,453670,7186611,NA,"0","85","15","0",""
"65","TELL","T4","T11",32,"KW","MG","11-May-21","8:38",44,NA,"1",1.5,"N",0,NA,NA,65,3,454732,7186541,NA,"0","70","30","0",""
"66","TELL","T4","T11",28,"KW","MG","11-May-21","9:04",43,NA,"1",0,NA,0,NA,NA,66,3,455232,7185913,NA,"0","100","0","0",""
"67","TELL","T4","T11",23,"KW","MG","11-May-21","9:38",48.7,NA,"1",0,NA,0,NA,NA,67,3,455731,7185273,NA,"0","100","0","0",""
"68","TELL","T4","T11",19,"KW","MG","11-May-21","10:11",44,NA,"0",2,"N",0,NA,NA,68,3,455170,7184712,NA,"0","100","0","0",""
"69","TELL","T4","T11",14,"KW","MG","11-May-21","10:38",44,NA,"0",2,"N",0,NA,NA,69,3,454596,7184154,NA,"NOT TAKEN","NOT TAKEN","NOT TAKEN","NOT TAKEN",""
"70","TELL","T4","T11",9,"KW","MG","11-May-21","11:05",47,NA,"0",0,NA,0,NA,NA,70,3,454025,7183595,NA,"0","100","0","0",""
"71","TELL","T4","T11",4,"KW","MG","11-May-21","11:29",47,NA,"0",0,NA,0,NA,NA,71,3,453462,7183035,NA,"0","90","10","0",""
"72","TELL","T4","T11",10,"KW","MG","11-May-21","11:56",56.4,NA,"0",0,NA,0,NA,NA,72,3,452964,7183665,NA,"0","100","0","0",""
"73","KOUG","K4","T28",15,"MG","KW","12-May-21","5:32",39,NA,"0",5,"N",0,NA,NA,73,3,489622,7188407,NA,"0","60","40","0","TUNDRA COVERED IN SNOW"
"74","KOUG","K4","T28",14,"MG","KW","12-May-21","6:20",39,NA,"0",0,NA,0,NA,NA,74,3,490654,7188320,NA,"0","0","0","100",""
"75","KOUG","K4","T28",18,"MG","KW","12-May-21","7:17",46,NA,"0",2,"N",0,NA,NA,75,3,490182,7188969,NA,"0","100","0","0",""
"76","KOUG","K4","T28",20,"MG","KW","12-May-21","7:50",46,NA,"0",0,NA,0,NA,NA,76,3,490182,7188969,NA,"0","100","0","0",""
"77","KOUG","K4","T28",21,"MG","KW","12-May-21","8:48",50,NA,"0",2,"S",0,NA,NA,77,3,491905,7190298,NA,"0","100","0","0","TUNDRA COVERED IN SNOW; DUE TO SNOW AND SLOPE WE DID NOT CROSS DRAINAGE, DID POINT 363 M FROM TRUE POINT ON SAFE GROUND, BUT MADE SURE NEW POINT WAS STILL 800M FROM ALL OTHER POINTS, AREA OPEN SO NEW POINT COVERED PRETTY MUCH SAME AREA AS THE ORIGNIAL POINT"
"78","KOUG","K4","T28",19,"MG","KW","12-May-21","9:39",47,NA,"0",4,"ESE",0,NA,NA,78,3,491835,7189456,NA,"10","60","20","10","IN DRAINAGE ON WAY TO POINT: ROPT, 3 SURF, SQUIR TRACKS; TUNDRA COVERED IN SNOW"
"79","KOUG","K4","T28",17,"MG","KW","12-May-21","10:13",55,NA,"0",0,NA,0,NA,NA,79,3,491254,7188898,NA,"0","70","10","20","TUNDRA COVERED IN SNOW"
"80","KOUG","K4","T28",13,"MG","KW","12-May-21","11:07",55,NA,"1",0,NA,0,NA,NA,80,3,491751,7188270,NA,"0","80","20","0","SQUIR ON SNOW ON WAY HERE; TUNDRA COVERED IN SNOW"
"81","TELL","T4","T14",25,"KW","MG","13-May-21","5:32",40,NA,"1",2,"N",0,NA,NA,81,3,456593,7181622,NA,"0","100","0","0",""
"82","TELL","T4","T14",30,"KW","MG","13-May-21","6:04",41,NA,"1",3,"E",0,NA,NA,82,3,457161,7182186,NA,"0","100","0","0",""
"83","TELL","T4","T14",29,"KW","MG","13-May-21","6:45",40,NA,"0",3,"E",0,NA,NA,83,3,458229,7182117,NA,"0","70","30","0",""
"84","TELL","T4","T14",23,"KW","MG","13-May-21","7:16",38,NA,"0",1,"E",1,500,"152",84,3,458734,7181478,NA,"0","35","65","0","NOISE: RIVER"
"85","TELL","T4","T14",18,"KW","MG","13-May-21","7:49",NA,NA,"0",0,NA,1,200,"103",85,3,458157,7180916,NA,"0","60","40","0","NOISE: CREEK"
"86","TELL","T4","T14",19,"KW","MG","13-May-21","8:44",44,NA,"0",0,NA,0,NA,NA,86,3,457093,7180986,NA,"0","55","45","0",""
"87","TELL","T4","T14",2,"KW","MG","13-May-21","10:56",60,NA,"0",1,"E",0,NA,NA,87,3,461228,7178308,NA,"0","100","0","0",""
"88","TELL","T4","T14",5,"KW","MG","13-May-21","11:31",54,NA,"0",4,"E",0,NA,NA,88,3,460726,7178949,NA,"30","70","0","0",""
"89","TELL","T4","T14",7,"KW","MG","13-May-21","11:59",57,NA,"0",4,"E",0,NA,NA,89,3,461296,7179508,NA,"25","70","5","0",""
"90","TELL","T4","T14",8,"KW","MG","13-May-21","12:35",59,NA,"0",3,"E",0,NA,NA,90,3,460222,7179579,NA,"0","80","20","0",""
"91","TELL","T4","T14",3,"KW","MG","13-May-21","13:14",59,NA,"0",4.5,"E",0,NA,NA,91,3,460157,7178384,NA,"0","30","70","0",""
"92","KOUG","K3","T17",1,"MG","KW","14-May-21","5:20",35,NA,"0",0,NA,1,40,"247",92,3,498716,7198613,NA,"0","60","0","40","NOISE: CREEK"
"93","KOUG","K3","T17",2,"MG","KW","14-May-21","5:48",32,NA,"0",0,NA,0,NA,NA,93,3,499271,7199177,NA,"0","70","30","0","SNOW ON TUNDRA"
"94","KOUG","K3","T17",5,"MG","KW","14-May-21","6:30",40,NA,"0",3,"NE",0,NA,NA,94,3,498769,7199813,NA,"0","30","70","0","SNOW ON TUNDRA"
"95","KOUG","K3","T17",8,"MG","KW","14-May-21","7:17",43,NA,"0",5,"E",0,NA,NA,95,3,498268,7200449,NA,"0","80","20","0","SNOW ON TUNDRA"
"96","KOUG","K3","T17",11,"MG","KW","14-May-21","8:06",47,NA,"0",6,"E",1,NA,NA,96,3,498833,7201012,NA,"40","60","0","0","NOISE: WIND; SNOW ON TUNDRA"
"97","KOUG","K3","T17",18,"MG","KW","14-May-21","9:05",53,NA,"0",2,"N",0,NA,NA,97,3,498900,7202168,NA,"30","70","0","0","SNOW ON TUNDRA"
"98","KOUG","K3","T17",17,"MG","KW","14-May-21","9:53",58,NA,"0",0,NA,0,NA,NA,98,3,499956,7202139,NA,"30","70","0","0","SNOW ON TUNDRA"
"99","KOUG","K3","T17",13,"MG","KW","14-May-21","10:34",64,NA,"0",4,"W",0,NA,NA,99,3,500456,7201502,NA,"20","60","20","0","MUSK OXEN UP HIGH; BEAR TRACKS ON WAY TO POINT!; SNOW ON TUNDRA"
"100","KOUG","K3","T17",12,"MG","KW","14-May-21","11:29",70,NA,"0",1,"W",0,NA,NA,100,3,501521,7201442,NA,"0","50","20","30","SNOW ON TUNDRA"
"101","KOUG","K3","T17",9,"MG","KW","14-May-21","12:07",66,NA,"0",1,"E",0,NA,NA,101,3,500957,7200873,NA,"0","10","10","80","IN ALDERS"
"102","KOUG","K3","T17",6,"MG","KW","14-May-21","12:34",72,NA,"0",0,NA,0,NA,NA,102,3,500397,7200305,NA,"0","60","20","20","SNOW ON TUNDRA"
"103","KOUG","K3","T17",4,"MG","KW","14-May-21","13:03",77,NA,"0",0,NA,0,NA,NA,103,3,499835,7199744,NA,"0","40","60","0","SNOW ON TUNDRA"
"104","COUN","C5","T14",28,"KW","MG","16-May-21","5:06",34,NA,"0",3,"N",1,2,"232",104,3,488104,7159778,NA,"0","40","60","0","NOISE: TRAFFIC AND DITCH CREEK"
"105","COUN","C5","T14",26,"KW","MG","16-May-21","6:00",33,NA,"0",6,"N",0,NA,NA,105,3,487537,7159218,NA,"0","100","0","0",""
"106","COUN","C5","T14",29,"KW","MG","16-May-21","6:25",34,NA,"0",2,"N",0,NA,NA,106,3,487037,7159845,NA,"0","60","40","0","HEARD SACR VERY FAR AWAY"
"107","COUN","C5","T14",27,"KW","MG","16-May-21","6:54",33.5,NA,"0",3.7,"N",0,NA,NA,107,3,486466,7159285,NA,"0","100","0","0",""
"108","COUN","C5","T14",19,"KW","MG","16-May-21","7:27",33.4,NA,"0",8,"N",1,NA,NA,108,3,486402,7158092,NA,"0","95","0","5","NOISE: WIND"
"109","COUN","C5","T14",15,"KW","MG","16-May-21","7:53",36.7,NA,"0",6,"S",0,NA,NA,109,3,485832,7157534,NA,"0","65","30","5",""
"110","COUN","C5","T14",10,"KW","MG","16-May-21","8:20",40,NA,"0",1,"N",0,NA,NA,110,3,486337,7156904,NA,"0","30","70","0","BY THE DUMP: LOTS OF GULLS AND CORA BUT FAR AWAY >1KM"
"111","COUN","C5","T14",14,"KW","MG","16-May-21","8:51",41,NA,"0",3,"N",0,NA,NA,111,3,486899,7157464,NA,"0","65","35","0",""
"112","COUN","C5","T14",18,"KW","MG","16-May-21","9:18",44,NA,"0",3,"N",0,NA,NA,112,3,487473,7158025,NA,"0","40","60","0",""
"113","COUN","C5","T14",22,"KW","MG","16-May-21","9:43",44,NA,"0",2,"N",0,NA,NA,113,3,488037,7158584,NA,"0","60","20","20",""
"114","COUN","C5","T14",25,"KW","MG","16-May-21","10:15",48,NA,"0",1,"NE",0,NA,NA,114,3,488605,7159150,NA,"0","45","40","15",""
